NO,NO KEC,KECAMATAN,JUMLAH GURU SMP NEGERI YANG SUDAH SERTIFIKASI,JUMLAH GURU SMP NEGERI YANG BELUM SERTIFIKASI,JUMLAH TOTAL GURU SMP NEGERI
1,32.75.01,Bekasi Timur,194,217,411
2,32.75.02,Bekasi Barat,89,122,211
3,32.75.03,Bekasi Utara,131,247,378
4,32.75.04,Bekasi Selatan,126,158,284
5,32.75.05,Rawalumbu,117,116,233
6,32.75.06,Medansatria,55,80,135
7,32.75.07,Bantargebang,48,87,135
8,32.75.08,Pondokgede,91,85,176
9,32.75.09,Jatiasih,135,229,364
10,32.75.10,Jatisampurna,48,104,152
11,32.75.11,Mustikajaya,117,123,240
12,32.75.12,Pondokmelati,25,31,56