NO,NO KEC,KECAMATAN,JUMLAH SMP SWASTA,JUMLAH GURU SMP SWASTA KUALIFIKASI D3/D4,JUMLAH GURU SMP SWASTA KUALIFIKASI S1,JUMLAH GURU SMP SWASTA KUALIFIKASI S2
1,32.75.01,Bekasi Timur,25,17,290,17
2,32.75.02,Bekasi Barat,16,12,169,8
3,32.75.03,Bekasi Utara,33,20,442,27
4,32.75.04,Bekasi Selatan,15,10,170,11
5,32.75.05,Rawalumbu,23,28,342,29
6,32.75.06,Medansatria,26,15,299,13
7,32.75.07,Bantargebang,7,2,100,6
8,32.75.08,Pondokgede,19,11,212,14
9,32.75.09,Jatiasih,30,11,317,16
10,32.75.10,Jatisampurna,14,11,159,10
11,32.75.11,Mustikajaya,21,18,197,9
12,32.75.12,Pondokmelati,14,6,161,5