NO,NO KEC,KECAMATAN,JUMLAH GURU SMP SWASTA YANG SUDAH SERTIFIKASI,JUMLAH GURU SMP SWASTA YANG BELUM SERTIFIKASI,JUMLAH TOTAL GURU SMP SWASTA
1,32.75.01,Bekasi Timur,140,257,397
2,32.75.02,Bekasi Barat,62,165,227
3,32.75.03,Bekasi Utara,157,391,548
4,32.75.04,Bekasi Selatan,93,132,225
5,32.75.05,Rawalumbu,126,315,441
6,32.75.06,Medansatria,123,268,391
7,32.75.07,Bantargebang,13,119,132
8,32.75.08,Pondokgede,69,196,265
9,32.75.09,Jatiasih,74,328,402
10,32.75.10,Jatisampurna,69,166,235
11,32.75.11,Mustikajaya,35,234,269
12,32.75.12,Pondokmelati,44,162,206