NO,NO KEC,KECAMATAN,JUMLAH SMP SWASTA,JUMLAH SISWA SMP SWASTA (LAKI-LAKI),JUMLAH SISWA SMP SWASTA (PEREMPUAN),JUMLAH GURU SMP SWASTA YANG SUDAH SERTIFIKASI,JUMLAH GURU SMP SWASTA YANG BELUM SERTIFIKASI,RASIO
1,32.75.01,Bekasi Timur,25,1934,1855,140,257,"9,54"
2,32.75.02,Bekasi Barat,16,1431,1197,62,165,"11,58"
3,32.75.03,Bekasi Utara,33,3472,2971,157,391,"11,76"
4,32.75.04,Bekasi Selatan,15,1073,977,93,132,"9,11"
5,32.75.05,Rawalumbu,23,2556,2441,126,315,"11,33"
6,32.75.06,Medansatria,26,1870,1619,123,268,"8,92"
7,32.75.07,Bantargebang,7,752,647,13,119,"10,6"
8,32.75.08,Pondokgede,19,1466,1195,69,196,"10,04"
9,32.75.09,Jatiasih,30,1880,1811,74,328,"9,18"
10,32.75.10,Jatisampurna,14,1397,1193,69,166,"11,02"
11,32.75.11,Mustikajaya,21,1572,1340,35,234,"10,83"
12,32.75.12,Pondokmelati,14,983,959,44,162,"9,43"